filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
2Q== (1).jpg	1	88	37.7641	139	39.9352	36	22.4485
2Q== (2).jpg	2	111	47.4968	84	29.4103	21	24.1836
2Q== (3).jpg	3	86	47.0778	100	47.5703	36	39.0683
2Q== (4).jpg	4	145	39.6842	182	27.1037	39	10.1288
2Q== (5).jpg	5	106	41.3878	146	41.3876	32	26.2361
2Q== (6).jpg	6	106	51.0781	204	33.6121	30	19.9051
2Q== (7).jpg	7	108	51.0199	193	34.1443	30	21.2619
2Q== (8).jpg	8	88	37.7331	139	39.9059	36	22.5628
2Q== (9).jpg	9	109	49.4578	152	32.7574	28	17.3779
2Q==.jpg	10	95	42.376	147	41.3767	32	27.3744
9k= (1).jpg	11	98	44.3889	117	35.815	36	26.6126
9k= (2).jpg	12	107	51.3331	201	34.6403	30	20.4668
9k= (3).jpg	13	104	50.8379	205	34.6699	30	18.2771
9k=.jpg	14	88	38.7265	135	40.1682	36	22.336
images (1).jpg	15	88	37.985	140	39.9245	36	22.7834
images (10).jpg	16	99	42.7091	139	39.6566	36	23.4557
images (11).jpg	17	96	42.6607	148	41.618	32	27.9427
images (2).jpg	18	89	42.7594	166	42.6532	36	23.6722
images (3).jpg	19	90	37.7324	112	34.5923	35	27.7496
images (4).jpg	20	146	51.1338	164	51.7249	25	52.4728
images (5).jpg	21	89	49.335	158	41.9362	38	25.9335
images (6).jpg	22	89	55.2724	122	52.5432	55	29.1763
images (7).jpg	23	96	42.46	148	41.1176	32	27.4342
images (8).jpg	24	114	54.349	175	51.1887	31	36.4709
images (9).jpg	25	125	48.8201	160	38.0042	38	18.7201
images.jpg	26	105	26.6817	67	27.3155	33	29.7069
Z (1).jpg	27	89	42.6292	166	41.9098	36	23.9568
Z (2).jpg	28	86	47.1878	99	47.5643	35	39.5032
Z (3).jpg	29	110	45.8596	121	35.4206	29	20.102
Z.jpg	30	95	42.8192	147	41.3144	32	27.3677
