filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
2Q== (1).jpg	1	207	53.9247	128	64.5574	20	28.5134
2Q== (2).jpg	2	179	53.4008	100	54.1525	25	51.6604
2Q== (3).jpg	3	176	55.9268	131	68.9213	24	32.2674
2Q== (4).jpg	4	174	54.6777	129	68.113	23	29.4327
2Q== (5).jpg	5	166	55.065	131	69.4472	22	29.9406
2Q==.jpg	6	169	55.299	128	67.9797	22	31.0089
9k= (1).jpg	7	189	53.9614	87	52.3814	18	57.332
9k= (2).jpg	8	176	56.0386	129	69.4695	23	31.9326
9k= (3).jpg	9	184	41.6369	71	39.4288	10	64.2477
9k= (4).jpg	10	183	51.9551	115	68.9259	23	31.7445
9k=.jpg	11	184	41.4835	71	39.4973	10	62.2193
images (1).jpg	12	182	40.0269	70	36.7016	10	51.4231
images (10).jpg	13	176	56.2338	118	71.9707	23	40.6923
images (11).jpg	14	176	56.0645	129	69.6877	23	31.6085
images (12).jpg	15	184	41.8361	70	39.2464	10	64.5947
images (13).jpg	16	204	50.2989	110	57.2702	24	28.9467
images (14).jpg	17	161	72.0141	112	65.9215	18	53.4217
images (2).jpg	18	202	49.4112	110	56.1404	24	26.9886
images (3).jpg	19	204	50.5624	109	57.0866	24	29.0051
images (4).jpg	20	197	48.6895	98	50.6488	24	29.2665
images (5).jpg	21	184	41.1749	74	38.6432	10	64.2971
images (6).jpg	22	169	54.8324	132	67.2809	22	31.7522
images (7).jpg	23	178	49.7707	105	50.0854	20	44.8113
images (8).jpg	24	184	41.8244	70	39.1832	11	65.5602
images (9).jpg	25	179	56.9831	130	54.2756	16	72.8732
images.jpg	26	193	61.4069	140	59.9083	19	55.6032
Z (1).jpg	27	176	55.8276	132	69.4185	23	31.8058
Z (2).jpg	28	184	41.6513	71	39.7534	10	61.8008
Z (3).jpg	29	182	48.7991	112	55.443	11	69.1614
Z (4).jpg	30	185	41.6015	70	39.3669	10	62.1192
Z.jpg	31	169	55.5772	129	68.2845	22	31.5617
