filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
2Q== (1).jpg	1	100	84.8298	109	67.5339	60	92.4872
2Q== (2).jpg	2	100	84.892	118	66.4417	46	91.1445
2Q== (3).jpg	3	100	84.7256	127	65.7079	34	87.0276
2Q== (4).jpg	4	100	84.532	117	78.1833	27	83.6735
2Q==.jpg	5	139	79.0621	57	51.5404	36	97.7271
9k= (1).jpg	6	84	69.7934	106	56.0392	37	79.3295
9k= (2).jpg	7	99	84.9843	110	67.8051	63	92.6489
9k= (3).jpg	8	100	84.5824	109	66.9636	60	92.4964
9k= (4).jpg	9	140	78.4502	62	48.9031	36	97.5577
9k= (5).jpg	10	100	84.7657	109	67.5682	53	91.8258
9k=.jpg	11	136	78.7407	58	53.6175	34	98.3041
images (1).jpg	12	115	82.8319	89	64.2094	143	81.2848
images (10).jpg	13	100	84.9462	111	67.6987	60	92.6201
images (11).jpg	14	100	84.8106	111	67.6596	65	92.6904
images (12).jpg	15	135	80.8711	65	51.1611	35	97.2865
images (2).jpg	16	106	89.8369	119	87.189	26	80.4373
images (3).jpg	17	100	84.872	109	68.0345	59	92.3811
images (4).jpg	18	139	78.7434	59	49.1851	35	97.3959
images (5).jpg	19	116	81.4525	112	77.4353	18	66.4128
images (6).jpg	20	99	84.8206	109	67.6788	60	92.4556
images (7).jpg	21	100	84.8758	110	67.9519	58	92.3209
images (8).jpg	22	163	91.4426	52	71.8397	28	60.5981
images (9).jpg	23	100	85.0669	112	67.3419	60	92.312
images.jpg	24	140	78.4678	58	49.0764	35	97.1933
Z (1).jpg	25	100	84.9462	111	67.6987	60	92.6201
Z (2).jpg	26	97	84.2481	98	63.8133	42	90.1438
Z (3).jpg	27	100	84.8923	113	68.8763	60	92.3638
Z (4).jpg	28	100	85.0357	110	68.0479	54	91.9019
Z (5).jpg	29	124	89.9906	67	68.7737	32	71.4094
Z.jpg	30	140	78.4887	58	49.0507	35	97.2273
