filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
2Q== (1).jpg	1	183	80.6202	105	76.9132	31	27.6486
2Q== (2).jpg	2	136	69.905	55	76.234	24	66.2753
2Q== (3).jpg	3	138	63.4501	52	52.248	31	48.3102
2Q== (4).jpg	4	156	80.9316	81	75.3161	33	48.3921
2Q== (5).jpg	5	110	49.0386	51	49.2624	30	48.8501
2Q== (6).jpg	6	146	73.672	64	71.2088	35	83.1472
2Q==.jpg	7	195	90.1025	71	80.6872	23	92.6444
9k= (1).jpg	8	196	90.3829	72	81.507	23	93.4242
9k= (2).jpg	9	202	75.4597	58	68.9592	22	39.8139
9k= (3).jpg	10	113	67.1178	91	70.819	34	43.4389
9k= (4).jpg	11	152	106.7558	132	98.6837	22	71.942
9k=.jpg	12	186	80.7877	104	77.7209	31	27.8256
images (1).jpg	13	163	86.3218	79	70.1895	31	60.2021
images (10).jpg	14	170	87.2244	89	69.596	34	57.4053
images (11).jpg	15	178	80.4375	107	76.4794	31	27.4321
images (2).jpg	16	168	72.9257	102	58.6291	24	54.3471
images (3).jpg	17	164	83.0811	100	73.7105	33	59.8351
images (4).jpg	18	185	81.445	104	77.3337	31	27.8438
images (5).jpg	19	185	80.7917	103	77.4374	31	27.873
images (6).jpg	20	196	90.5173	72	81.2358	23	92.9755
images (7).jpg	21	196	90.4774	71	81.142	23	92.7858
images (8).jpg	22	187	82.348	102	78.1085	31	30.1857
images (9).jpg	23	123	57.1742	53	53.8123	34	42.1018
images.jpg	24	165	81.869	120	64.7039	32	18.174
Z (1).jpg	25	139	63.5725	52	52.2011	31	49.8489
Z (2).jpg	26	137	88.1864	63	72.9952	33	53.6232
Z (3).jpg	27	160	64.596	77	47.6009	22	43.1773
Z (4).jpg	28	183	80.3049	105	76.6414	31	26.7241
Z (5).jpg	29	139	71.2746	55	77.425	26	65.7686
Z.jpg	30	186	80.7815	104	77.6482	31	27.7184
